Estabelecimento de tratamento;cnes
2380463 INCOR NATAL;2380463
2380846 HOSPITAL MATERNIDADE SEVERINA CARLOS DE AN;2380846
2381125 HOSP LINDOLFO FERNANDES;2381125
2381206 HOSPITAL AUREA MAIA DE FIGUEIREDO;2381206
2381303 HOSP MAT ABEL BELARMINO AMORIM;2381303
2381885 HOSPITAL MUNICIPAL DE BARRO ALTO;2381885
2381974 HOSPITAL MUNICIPAL MARANATHA AMORINOPOLIS;2381974
2381990 HOSPITAL MUNICIPAL GETULIO VARGAS;2381990
2382032 HOSPITAL MUNICIPAL LUCI PEREIRA DE OLIVEIR;2382032
2382431 HOSPITAL MUNICIPAL ADAILTON DO AMARAL;2382431
2382466 HOSPITAL MUNICIPAL DE MORRINHOS;2382466
2382474 HOSPITAL ESTADUAL DE S LUIS DE MONTES BELO;2382474
2382644 HOSPITAL MUNICIPAL RIO CLARO JAUPACI;2382644
2382687 HOSPITAL MUNICIPAL CRISTO REDENTOR;2382687
2382792 HOSPITAL MUNICIPAL DR ARQUIMEDES VIEIRA DE;2382792
2382911 HOSPITAL MUNICIPAL FORMOSO;2382911
2383012 HOSPITAL MUNICIPAL DE SAO SIMAO;2383012
2383233 HOSPITAL MUNICIPAL DE CAMPOS BELOS;2383233
2383489 HOSPITAL MUNICIPAL PEDRO MARTINS DE SOUZA;2383489
2383578 HOSPITAL MUNICIPAL DR MANUELITO PARANAIGUA;2383578
2383896 HOSPITAL MUNICIPAL DE CRISTALINA CHAUD SAL;2383896
2383985 HOSPITAL MUNICIPAL DE MONTES CLAROS DE GOI;2383985
2384086 HOSPITAL MUNICIPAL DE CAMPINORTE;2384086
2384299 COMPLEXO DO HOSPITAL DE CLINICAS DA UFPR H;2384299
2385171 HOSPITAL DE BASE LUIS EDUARDO MAGALHAES;2385171
2385880 HOSPITAL SAO CAMILO;2385880
2386038 HOSPITAL DE RIO FORTUNA;2386038
2386321 HSB;2386321
2386569 HOSPITAL MUNICIPAL PROF MAGALHAES NETO;2386569
2386879 HOSPITAL SAO JOAO DE DEUS;2386879
2387042 HOSP MATERNIDADE NOSSA SENHORA APARECIDA;2387042
2387131 HOSPITAL MUNICIPAL MAE OLIMPIA;2387131
2387581 HOSPITAL MUNICIPAL JOSE MARIO DOS SANTOS;2387581
2387727 HOSPITAL DE CAPIM GROSSO;2387727
2388057 HOSPITAL GERAL DE CAMACARI;2388057
2388685 HOSPITAL DE CATU SANTA CASA DA BAHIA;2388685
2389398 HOSPITAL MUNICIPAL DE CENTRAL;2389398
2389584 HOSPITAL MUNICIPAL SAO SEBASTIAO;2389584
2390043 HOSPITAL NOSSA SENHORA DO BONSUCESSO;2390043
2391449 HOSPITAL GERAL DE POCONE DR NICOLAU FONTAN;2391449
2391635 HOSPITAL E PRONTO SOCORRO MUNICIPAL DE VAR;2391635
2391724 HOSPITAL MUNICIPAL DE MATUPA;2391724
2391996 HOSPITAL MUNICIPAL DE TERRA NOVA DO NORTE;2391996
2392046 HOSPITAL MUNICIPAL NOSSA SENHORA DO ROSARI;2392046
2392410 HOSPITAL REGIONAL DE COLIDER;2392410
2392704 HOSPITAL MUNIC DE JUARA HOSP MUNIC ELIDIA;2392704
2395037 HOSPITAL SAO LUIZ;2395037
2395428 HOSPITAL MUNICIPAL DR DAERCIO OLIVEIRA MOR;2395428
2395886 HOSPITAL E PRONTO SOCORRO MUNICIPAL MILTON;2395886
2395916 HOSPITAL MUNICIPAL OSNIR BORTOLINI;2395916
2396106 HOSPITAL MUNICIPAL CORACAO DE JESUS;2396106
2396866 SANTA CASA DE RONDONOPOLIS;2396866
2396998 HOSPITAL MUNICIPAL DE ALTO ARAGUAIA;2396998
2397463 HOSPITAL E MATERNIDADE SAO LUCAS;2397463
2397676 HOSPITAL DAS CLINICAS PRIMAVERA;2397676
2397714 HOSPITAL E MATERNIDADE IRMA MARIA DAS NEVE;2397714
2398125 HOSPITAL E MATERNIDADE SAO JOAO BATISTA;2398125
2398400 HOSPITAL MUNICIPAL DE TAPURAH;2398400
2398680 HOSPITAL MUNICIPAL DE NOVA MUTUM;2398680
2399318 HOSPITAL INFANTIL ARLINDA MARQUES;2399318
2399555 HOSPITAL MUNICIPAL SANTA ISABEL;2399555
2399628 COMPLEXO HOSPITALAR DE MANGABEIRA GOV TARC;2399628
2399636 HOSPITAL MUNICIPAL VALENTINA;2399636
2399644 MATERNIDADE CANDIDA VARGAS;2399644
2399741 FUNDACAO NAPOLEAO LAUREANO;2399741
2399776 HOSPITAL SAO VICENTE DE PAULO;2399776
2399970 POLICLINICA MUNICIPAL JAGUARIBE;2399970
2400243 HOSPITAL UNIVERSITARIO LAURO WANDERLEY;2400243
2400324 HOSPITAL EDSON RAMALHO;2400324
2400359 IORTE;2400359
2400693 HOSPITAL GERAL PRADO VALADARES;2400693
2401231 HOSPITAL PORTUGUES UNID ANTONIO CARLOS MAG;2401231
2401665 UNIDADE HOSPITALAR SAO SEBASTIAO;2401665
2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA;2402076
2402556 UNIMEC;2402556
2402564 HOSPITAL MUNICIPAL ESAU MATOS;2402564
2402874 HOSPITAL SAO V PAULO AFONSO CLAUDIO;2402874
2402882 HOSPITAL E MATERNIDADE DR ARTHUR GERHARDT;2402882
2403242 HOSPITAL E MS C MARIAJOAO NEIVA;2403242
2403331 HOSPITAL PADRE MAXIMO VENDA NOVA DO IMIGRA;2403331
2407205 SAMUR;2407205
2407566 HOSPITAL MATERNIDADE JOAQUINA QUEIROZ;2407566
2407574 HOSPITAL MATERNIDADE GUIOMAR FERNANDES;2407574
2407868 HOSPITAL DR NELSON MAIA;2407868
2408139 HOSPITAL MUNICIPAL DE PATU;2408139
2408244 HOSPITAL MEDICO CIRURGICO;2408244
2408252 HOSPITAL MEMORIAL SAO FRANCISCO;2408252
2408570 HOSPITAL DR JOSE PEDRO BEZERRA;2408570
2409151 HOSPITAL INFANTIL VARELA SANTIAGO;2409151
2409194 HOSPITAL DR LUIZ ANTONIO;2409194
2409208 MATERNIDADE ESCOLA JANUARIO CICCO;2409208
2409275 HOSPITAL REGIONAL DR CLEODON CARLOS DE AND;2409275
2409658 MATERNIDADE SANTA LUIZA DE MARILLAC;2409658
2410141 HOSPITAL REGIONAL DR AGUINALDO PEREIRA;2410141
2410265 CENTRO DE ONCOLOGIA E HEMATOLOGIA DE MOSSO;2410265
2410281 HOSPITAL MATERNIDADE ALMEIDA CASTRO;2410281
2410443 HOSPITAL REGIONAL HELIO MORAIS MARINHO;2410443
2410478 MATERNIDADE CLAUDINA PINTO;2410478
2410486 HOSPITAL REGIONAL NELSON INACIO DOS SANTOS;2410486
2410834 HOSPITAL ROGACIONISTA EVANGELICO;2410834
2411245 ASSOCIACAO HOSPITALAR DE VARGEAO;2411245
2411393 HOSPITAL REGIONAL SAO PAULO ASSEC;2411393
2411415 HOSPITAL FREI BRUNO;2411415
2412241 POLICLINICA E MATERNIDADE DE GUANAMBI;2412241
2412551 HOSPITAL MUNICIPAL SAO SEBASTIAO;2412551
2413450 SOMAI;2413450
2413469 MATERNIDADE MANOEL MARTINS DE SOUZA;2413469
2413922 HOSPITAL DR JOSE DA COSTA PINTO DANTAS;2413922
2414244 HOSPITAL MUNICIPAL DE AMARGOSA;2414244
2414872 HOSP MATERN OTACILIO MOTA;2414872
2415488 HOSPITAL E MATERNIDADE SAO FRANCISCO DE AS;2415488
2415496 HOSPITAL SAO RAIMUNDO;2415496
2415623 HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO T;2415623
2415631 HOSPITAL ANTONIO PRUDENTE;2415631
2415844 HOSPITAL MATERNO INFANTIL DOUTOR JOAQUIM S;2415844
2416328 HOSPITAL SAO JORGE;2416328
2417189 HOSPITAL CRISTO REDENTOR;2417189
2418177 HOSPITAL SAO FRANCISCO DE ASSIS;2418177
2418304 HOSPITAL NOSSA SENHORA DA CONCEICAO;2418304
2418657 HOSPITAL MUNICIPAL MARIA SANTANA ROCHA FRA;2418657
2418665 HOSPITAL DE CAMETA;2418665
2418673 HOSPITAL MUNICIPAL DE FLORESTA DO ARAGUAIA;2418673
2418967 HOSPITAL MONSENHOR JOSE LOCKS DE SAO JOAO;2418967
2419378 HOSPITAL DE CARIDADE SAO ROQUE;2419378
2419653 HOSPITAL NOSSA SENHORA DA CONCEICAO HNSC;2419653
2420015 FUNDACAO SOCIAL HOSPITALAR DE ICARA;2420015
2421518 HOSPITAL NOSSA SENHORA DA CONCEICAO;2421518
2423529 HOSPITAL REGIONAL AMPARO DE MARIA;2423529
2423928 HOSPITAL MUNICIPAL PEDRO PIMENTEL RIBEIRO;2423928
2423936 HOSPITAL MUNICIPAL DE ITIUBA;2423936
2423960 SOTE;2423960
2424207 CENTRO DE ESPECIALIDADES MEDICAS DR ARISTI;2424207
2424533 CLINICA DE OLHOS DE SOBRAL;2424533
2424541 INSTITUTO OTORRINO OFTALMOLOGIA JOSE MODES;2424541
2425300 HOSPITAL DO CORACAO;2425300
2425432 SOPRAFA;2425432
2425599 HOSPITAL MUNICIPAL DE JARDIM;2425599
2426579 HOSPITAL MUNICIPAL ESTEVAM PONTE;2426579
2427125 HOSP GERAL LUIZA ALCANTARA SILVA;2427125
2427419 HOSPITAL REGIONAL DO AGRESTE DR WALDEMIRO;2427419
2427427 HOSPITAL BARAO DE LUCENA;2427427
2428369 CASA DE SAUDE SANTA EFIGENIA LTDA;2428369
2428385 HOSPITAL REGIONAL EMILIA CAMARA;2428385
2428393 HOSPITAL REGIONAL DE PALMARES DR SILVIO MA;2428393
2428881 HOSPITAL MUNICIPAL DR JOSE DANTAS FILHO;2428881
2429004 APAMI DE VITORIA DE SANTO ANTAO;2429004
2429438 CENTRO HOSPITALAR DR JOSE EVOIDE DE MOURA;2429438
2430118 NEUROCARDIO;2430118
2430495 HGU HOSPITAL GERAL E URGENCIA;2430495
2430711 HOSPITAL DOM MALAN;2430711
2430843 IRWAM;2430843
2432048 HOSPITAL E MATERNIDADES PETRONILA CAMPOS;2432048
2432307 CENTRO HOSPITALAR SANTA MARIA;2432307
2432900 HOSPITAL E MATERNIDADE NOSSA SENHORA DE LO;2432900
2433877 HOSPITAL GERAL AMELIA GUEIROS LEITE;2433877
2435802 H G G DR PAULO DA VEIGA PESSOA;2435802
2436310 HOSPITAL REGIONAL JULIO ALVES DE LIRA;2436310
2436450 HOSPITAL REGIONAL HANS DIETER SCHMIDT;2436450
2436469 HOSPITAL MUNICIPAL SAO JOSE;2436469
2436477 MATERNIDADE DARCY VARGAS;2436477
2437023 HOSPITAL MUNICIPAL DE NOVA CRIXAS;2437023
2437139 HOSPITAL MUNICIPAL DE CALDAS NOVAS;2437139
2437171 HOSPITAL MUNICIPAL DR MARIA MARCIA GONZAGA;2437171
2437643 HOSPITAL MUNICIPAL DE SANTA BARBARA;2437643
2437651 HOSPITAL MUNICIPAL MATERNO INFANTIL SANTA;2437651
2437783 HOSPITAL ESTADUAL DE PIRENOPOLIS ERNESTINA;2437783
2438003 HOSPITAL MUNICIPAL DE ITAJA;2438003
2438151 UNIDADE MISTA HOSPITALAR DE SIMOLANDIA;2438151
2438313 HOSPITAL MUNICIPAL DR EDNALDO BARBOZA MACH;2438313
2438410 HOSPITAL MUNICIPAL SANTA LUZIA;2438410
2439263 HNSG HOSPITAL PROVIDENCIA MATERNO INFANTIL;2439263
2439360 HNSG HOSPITAL DA PROVIDENCIA;2439360
2441268 HOSPITAL MUNICIPAL SANTA CATARINA;2441268
2441675 MATERNIDADE DR ADALBERTO PEREIRA DA SILVA;2441675
2442019 HOSPITAL SAGRADO CORACAO DE JESUS NEROPOLI;2442019
2442094 HOSPITAL SAO ZACARIAS;2442094
2442108 HOSPITAL EVANGELICO GOIANO SA;2442108
2442116 HOSPITAL NOSSA SENHORA APARECIDA ANAPOLISG;2442116
2442477 HOSPITAL MUNICIPAL HENRIQUE ANTONIO SANTIL;2442477
2442531 HOSPITAL SAO PAULO IPAMERI;2442531
2442604 HOSPITAL NASR FAIAD;2442604
2442612 SANTA CASA DE MISERICORDIA DE CATALAO;2442612
2442620 HOSPITAL E MATERNIDADE SAO NICOLAU;2442620
2442728 HOSPITAL MUNICIPAL BOM JESUS;2442728
2442965 HOSPITAL FAMP SAMARITANO;2442965
2443031 CASA DE SAUDE SYLVIO DE MELLO;2443031
2443139 HOSPITAL MUNICIPAL DE ANICUNS;2443139
2444828 MATERNIDADE ESTER GOMES;2444828
2445956 HOSPITAL DOUTORA RITA DE CASSIA;2445956
2446030 HOSPITAL E MATERNIDADE SILVIO AVIDOS;2446030
2447029 SANTA CASA DE MISERICORDIA DE GUACUI;2447029
2447886 CASA DE CARIDADE SAO JOSE;2447886
2447894 HOSPITAL DE JERONIMO MONTEIRO UIJM;2447894
2448173 HOSPITAL APOSTOLO PEDRO;2448173
2448203 HOSPITAL DE IBATIBA;2448203
2448521 HOSPITAL SAO JOSE;2448521
2448637 SANTA CASA;2448637
2449641 HGM HOSPITAL GERAL MUNICIPAL DR MARCOLINO;2449641
2450178 HOSPITAL MUNICIPAL DR ROSY KURY;2450178
2450429 HOSPITAL MUNICIPAL PEDRO NEIVA DE SANTANA;2450429
2450453 HOSPITAL MUNICIPAL AGOSTINHO DOS SANTOS JA;2450453
2451573 HOSPITAL JORGE OLIVEIRA;2451573
2452383 MATERNIDADE DE ALTO RISCO DE IMPERATRIZ;2452383
2452774 HOSPITAL MUNICIPAL DR NETO GUTERRES;2452774
2452804 HOSPITAL DO TRABALHADOR BURITIENSE;2452804
2452820 COMPLEXO HOSPITALAR ANTONIO PONTES DE AGUI;2452820
2452952 HOSPITAL MUNICIPAL GERAL E MATERNIDADE DE;2452952
2452987 CLINICA NOSSA SENHORA DAS GRACAS;2452987
2453363 HOSPITAL MUNICIPAL ANTONIO TOMAZ;2453363
2454475 HOSPITAL REGIONAL DR ANTONIO HADADE;2454475
2454750 HOSPITAL SAO DOMINGOS;2454750
2454947 HOSPITAL MUNICIPAL JESUS DE NAZARE;2454947
2455145 HOSPITAL MUNICIPAL DR ADRIAN BERROSPI TRIN;2455145
2455463 HOSPITAL MUNICIPAL PEDRO VERA CRUZ BEZERRA;2455463
2455625 HOSPITAL SANTA MARTA;2455625
2456672 HMI HOSPITAL MUNICIPAL DE IMPERATRIZ;2456672
2456958 SANTA CASA;2456958
2457121 HOSPITAL MUNICIPAL DE GOVERNADOR NUNES FRE;2457121
2457156 HOSPITAL REGIONAL DR CELSO ROCHA SANTOS;2457156
2457512 HOSPITAL MUNICIPAL DR JOSE WILLYS NOGUEIRA;2457512
2457911 HOSPITAL MUNICIPAL DE JOAO LISBOA;2457911
2458055 HOSPITAL MARIA SOCORRO BRANDAO;2458055
2458705 HOSPITAL E MATERNIDADE DE SAO JOSE DE RIBA;2458705
2459477 HOSPITAL MUNICIPAL PEDRO DOS REIS FERNANDE;2459477
2460017 HOSPITAL MUNICIPAL THALLES RIBEIRO GONCALV;2460017
2460262 HOSPITAL REGIONAL LAURA VASCONCELOS;2460262
2460335 HOSPITAL MUNICIPAL DE ICATU;2460335
2461005 HOSPITAL MUNICIPAL DR AFONSO MATOS;2461005
2461099 HOSPITAL MUNICIPAL DE JOSELANDIA;2461099
2461234 HOSPITAL MUNICIPAL DR ZERBINE;2461234
2461277 HOSPITAL MUNICIPAL DR CARLOS MACIEIRA;2461277
2461285 HOSPITAL E MATERNIDADE JOSE SARNEY;2461285
2461765 HOSPITAL MUNICIPAL DR LUIS GONZAGA MARTINS;2461765
2461838 HOSPITAL MUNICIPAL RAIMUNDO BORBA GALVAO;2461838
2461900 HOSPITAL MUNICIPAL GOVERNADOR ARCHER;2461900
2462095 HOSPITAL MUNICIPAL ELDA RIBEIRO FONSECA;2462095
2462214 HOSPITAL MUNICIPAL LUCAS VERAS;2462214
2462591 HOSPITAL ACRISIO FIGUEIRA;2462591
2463016 HOSPITAL MUNICIPAL DE ACAILANDIA;2463016
2463784 HOSPITAL REGIONAL DE CARUTAPERA;2463784
2464268 HOSPITAL PEDRO CUNHA MENDES;2464268
2464454 HOSPITAL MUNICIPAL EDIR MELO;2464454
2464594 HOSPITAL DE REF EST DE ALTA COMPLEXIDADE D;2464594
2465108 HOSPITAL MUNICIPAL DE SAO JOAO DO CARU;2465108
2465469 HOSPITAL SESP DE ZE DOCA;2465469
2465655 HOSPITAL MUNICIPAL DR ZECA MOREIRA;2465655
2465825 HOSPITAL GERAL DE LINHARES HGL;2465825
2465833 HOSPITAL RIO DOCE;2465833
2467372 HOSPITAL MUNICIPAL ANTONIO TEXEIRA SOBRINH;2467372
2467402 CENTROMED;2467402
2468271 HOSPITAL REGIONAL DE PEDRO AFONSO LEONICIO;2468271
2468573 CENTRO DE SAUDE DR EDUARDO MANZANO;2468573
2468972 HOSPITAL REGIONAL DE AUGUSTINOPOLIS;2468972
2469774 CASA DE SAUDE E MATERNIDADE MARIA JOSE DE;2469774
2470098 HOSPITAL GERAL DE ITABERABA;2470098
2470357 DAY HORC;2470357
2470667 HOSPITAL DA SAGRADA FAMILIA;2470667
2470748 HOSPITAL REGIONAL VICENTINA GOULART;2470748
2471345 HOSPITAL REGIONAL DE ALTA FLORESTA ALBERT;2471345
2471663 HOSPITAL E MATERNIDADE ALIPIO CANDIDO DA S;2471663
2471795 HOSPITAL MUNICIPAL DE BRASNORTE BRASNORTE;2471795
2472139 HOSPITAL DAS CLINICAS VIDA E SAUDE;2472139
2472244 HOSPITAL MUNICIPAL MEDIO NORTE;2472244
2472457 HOSPITAL REGIONAL DE BARRA DO BUGRES ROOSE;2472457
2472724 HOSPITAL E MATERNIDADE RENATO SUCUPIRA SAP;2472724
2473046 HOSPITAL REGIONAL DE AGUA BOA;2473046
2473380 HOSPITAL MATERNIDADE DO DIVINO AMOR;2473380
2473844 HOSPITAL MATERNIDADE ALUISIO ALVES;2473844
2474328 HOSPITAL MUNICIPAL ANTONIO FERRAZ;2474328
2474506 HOSPITAL MANOEL LUCAS DE MIRANDA;2474506
2474751 HOSPITAL REGIONAL DE JOAO CAMARA;2474751
2475278 HOSPITAL E MATERNIDADE CLOTILDE SANTINA;2475278
2475847 HOSPITAL MATERNIDADE TEREZINHA LULA DE QUE;2475847
2476266 HOSPITAL MATERNIDADE DR RUY MARIZ;2476266
2476444 HOSPITAL PADRE JOAO MARIA E MATERNIDADE AN;2476444
2476487 HOSPITAL DR MARIANO COELHO;2476487
2477661 HOSPITAL DR PEDRO GARCIA MORENO;2477661
2478080 HOSP PUBLICO MUNICIPAL S QUITERIA;2478080
2479214 HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO;2479214
2479907 H J M A HOSPITAL JOSE MARTINIANO DE ALENCA;2479907
2480018 HOSPITAL NEUROCENTRO;2480018
2480646 IMTAVI;2480646
2481073 HOSPITAL SAO LUCAS;2481073
2481286 MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND;2481286
2483548 HOSPITAL MUNICIPAL LUIZ EDUARDO MAGALHAES;2483548
2483998 HOSPITAL MATERNIDADE NOSSA SENHORA DE APAR;2483998
2484072 HOSPITAL MATERNIDADE SAO MATEUS;2484072
2484676 FUMATRE;2484676
2484943 HOSPITAL SAO MARCOS;2484943
2485249 ASSOCIACAO HOSPITALAR RURAL DE BOA ESPERAN;2485249
2485680 SANTA CASA DE MISERICORDIA DE CACHOEIRO DE;2485680
2485729 HIFA HOSPITAL MATERNO INFANTIL FRANCISCO D;2485729
2486199 HOSPITAL DOUTOR DORIO SILVA;2486199
2487411 HOSPITAL MATERNIDADE DR JOAO CARLOS MEIREL;2487411
2487438 HOSPITAL REGIONAL DANTAS BIAO;2487438
2487616 HOSPITAL MUNICIPAL DR ULYSSES CELESTINO DA;2487616
2487756 HOSPITAL SAO VICENTE DE PAULO;2487756
2488892 IBR HOSPITAL;2488892
2490935 HOSPITAL FELIX DA COSTA GOMES;2490935
2491249 HOSPITAL SANTA CRUZ DE CANOINHAS;2491249
2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO;2491710
2492342 HOSPITAL SANTO ANTONIO GUARAMIRIM;2492342
2492911 HOSPITAL SAO PEDRO DE MACARANI;2492911
2493330 HOSPITAL DR ALBINO LEITAO;2493330
2493829 CLINICA E MATERNIDADE SAO MATHEUS;2493829
2493845 HOSPITAL MANOEL VICTORINO;2493845
2493888 HOSPITAL JOAO PAULO II PORTO VELHO;2493888
2493918 POC PORTO VELHO;2493918
2494167 HOSPITAL REGIONAL MATERNIDADE IRMA RITA DE;2494167
2494299 HOSPITAL REGIONAL DE ARIQUEMES;2494299
2494442 HOSPITAL EVANGELICO DE VILA VELHA;2494442
2494450 HOSPITAL MERIDIONAL;2494450
2494930 HOSPITAL SAO VICENTE;2494930
2495015 HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUI;2495015
2495228 HOSPITAL MUNICIPAL JOAO AMELIO DA SILVA;2495228
2495279 HOSPITAL DR CLAUDIONOR COUTO RORIZ;2495279
2495414 HOSPITAL E MATERNIDADE EUFRASIA MARIA DA C;2495414
2496046 HOSPITAL MUNICIPAL MATERNO INFANTIL CACOAL;2496046
2496879 HOSPITAL MUNICIPAL DRA LAURA MARIA BRAGA;2496879
2497077 ARSS CRE FRANCISCO BELTRAO;2497077
2497654 HGF HOSPITAL GERAL DE FORTALEZA;2497654
2497751 SARAH SALVADOR;2497751
2498421 HOSPITAL PORTUGUES HOSPITAL PADRE PAULO FE;2498421
2498804 HOSPITAL SAO JOSE;2498804
2499029 HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUI;2499029
2499037 HOSP MATERN LUZIA T DA COSTA;2499037
2499339 HOSPITAL GERAL DR JOSE ARCANJO NETO;2499339
2499363 HGCC HOSPITAL GERAL DR CESAR CALS;2499363
2499568 HOSPITAL PADRE HUMBERTO;2499568
2499975 HOSPITAL DISTRITAL JAILTON MESSIAS DE ALBU;2499975
2503689 HOSPITAL REGIONAL DR TARCISIO DE VASCONCEL;2503689
2503824 HOSPITAL E MATERNIDADE ZACARIAS JUNIOR;2503824
2504316 HOSPITAL NOSSA SENHORA DOS PRAZERES;2504316
2504324 UNIDADE SANITARIA CENTRAL DE LAGES;2504324
2504332 HOSPITAL E MATERNIDADE TEREZA RAMOS;2504332
2504502 HOSPITAL UNIVERSITARIO JULIO MARIA BANDEIR;2504502
2504537 HOSPITAL DISTRITAL DEP MANOEL GONCALVES DE;2504537
2504901 HOSPITAL MUNICIPAL DR PEDRO PAULO BARCAUI;2504901
2505231 HOSPITAL DA MULHER;2505231
2505886 HOSPITAL MUNICIPAL DO POVO;2505886
2506254 HOSPITAL MUNICIPAL DE NOVA VICOSA;2506254
2506572 HOSPITAL MUNICIPAL MILTON FARIA DIAS LARAN;2506572
2506661 HOSPITAL ESTADUAL DOENCAS TROPICAIS DR ANU;2506661
2506815 HOSPITAL DE CANCER;2506815
2506858 HOSPITAL E MATERNIDADE DONA IRIS;2506858
2506947 HOSPITAL OLAVO SCHERMER;2506947
2507315 CLINICA SAO FRANCISCO DE ASSIS;2507315
2507420 HOSPITAL MUNICIPAL DE CRIXAS;2507420
2507447 HOSPITAL REGIONAL DE EUNAPOLIS;2507447
2507455 HOSPITAL AMES;2507455
2507803 HOSPITAL GOIANIRA;2507803
2508176 HOSPITAL MUNICIPAL DE PIATA DOUTOR HELIO M;2508176
2508222 HOSPITAL MUNICIPAL DE PINDAI;2508222
2509369 HOSPITAL SAO PEDRO;2509369
2509377 CASA DE SAUDE DE REMANSO;2509377
2510391 HOSPITAL REGIONAL DE RUY BARBOSA;2510391
2513838 HOSPITAL E MATERNIDADE RIO DO TESTO;2513838
2514435 HOSPITAL MUNICIPAL EDITE NOGUEIRA RANGEL;2514435
2514621 HOSPITAL OCTAVIO PEDREIRA;2514621
2514710 HOSPITAL E MATERNIDADE NOSSA SENHORA DAS G;2514710
2514729 HOSPITAL GERAL IGNEZ ANDREAZZA;2514729
2515369 HOSPITAL SAMAR;2515369
2515377 INSTITUTO SAO PELLEGRINO;2515377
2516632 HOSP DR MOURA FERREIRA;2516632
2516640 HOSPITAL DISTRITAL MARIA JOSE BARROSO DE O;2516640
2516667 HOSPITAL DISTRITAL EDMILSON BARROS DE OLIV;2516667
2516683 HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA;2516683
2516764 HOSPITAL MUNICIPAL DE PAUDALHO;2516764
2517124 HOSPITAL SAO FRANCISCO;2517124
2517698 CLINICA SANTA MONICA;2517698
2519151 HOSPITAL SANTA CATARINA;2519151
2519208 HOSPITAL ORTOPEDICO DE GOIANIA GERALDO PED;2519208
2519429 HOSPITAL SANTA MONICA;2519429
2519569 HOSPITAL MUNICIPAL NOSSA SRA DAS GRACAS RI;2519569
2519593 HOSPITAL MUNICIPAL DE IPORA;2519593
2520168 HOSPITAL DOCENTE ASSISTENCIAL CELIA ALMEID;2520168
2520524 HOSPITAL MATERNO INFANTIL DE JUAZEIRO;2520524
2520583 HOSPITAL MUNICIPAL PROFESSOR JOSE MARIA DE;2520583
2520613 HOSPITAL NOSSA SENHORA DA POMPEIA;2520613
2521296 HOSPITAL BETHESDA;2521296
2521695 HOSPITAL RIO NEGRINHO;2521695
2521792 HOSPITAL E MATERNIDADE SAGRADA FAMILIA;2521792
2521873 HOSPITAL BEATRIZ RAMOS;2521873
2522209 HOSPITAL MISERICORDIA;2522209
2522411 HOSPITAL AZAMBUJA;2522411
2522489 ASSOCIACAO HOSPITAL E MATERNIDADE DOM JOAQ;2522489
2522691 HOSPITAL E MATERNIDADE MARIETA KONDER BORN;2522691
2523051 HOSPITAL MUNICIPAL DE SAPEACU;2523051
2523787 HOSPITAL MUNICIPAL NOSSA SENHORA DA SAUDE;2523787
2524996 APMIU;2524996
2525569 HOSPITAL MANOEL NOVAES;2525569
2525933 HOSPITAL DR HEITOR GUEDES DE MELLO;2525933
2527391 HOSP MATERN MADRE ROSA GATTORNO;2527391
2527413 HOSPITAL E MATERNIDADE REGIONAL SAO FRANCI;2527413
2527677 HOSPITAL MUNICIPAL SANTA ROSA DE LIMA;2527677
2527685 HOSPITAL MATERNIDADE SANTA RITA;2527685
2527693 CASA DE SAUDE MATERNIDADE CELESTINA COLARE;2527693
2527707 HOSPITAL SAO RAIMUNDO;2527707
2528711 PRONTO SOCORRO PRONTOMEDICO;2528711
2528843 HOSPITAL DISTRITAL DR FERNANDES TAVORA;2528843
2529068 HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTE;2529068
2529149 IJF INSTITUTO DR JOSE FROTA CENTRAL;2529149
2529475 HOSPITAL INFANTIL LUCIA DE FATIMA HIF;2529475
2529556 HOSP MUNIC DR DEOCLECIO LIMA VERDE;2529556
2529769 CLINICA NOSSA SENHORA DO ROSARIO LTDA;2529769
2530031 HOSPITAL DR ANTONIO LOPES VARAO;2530031
2530236 HOSPITAL REGIONAL ADELIA MATOS FONSECA;2530236
2530473 HOSPITAL RUI BANDEIRA;2530473
2530805 HRO;2530805
2531348 HOSPITAL SAO RAFAEL;2531348
2531771 HOSPITAL MUNICIPAL BOM JESUS DAS SELVAS;2531771
2532174 NUCLEO REGIONAL DE ESPECIALIDADES DE SAO M;2532174
2532190 HOSPITAL MADRE REGINA PROTMANN;2532190
2532387 HOSPITAL MUNICIPAL DE SIMOES FILHO;2532387
2532530 HOSPITAL MUNICIPAL DE CRUZ DAS ALMAS;2532530
2532549 HOSPITAL MUNICIPAL DILTON BISPO DE SANTANA;2532549
2533057 HOSPITAL ANTENOR ALVES DA SILVA;2533057
2533219 HOSPITAL AMI;2533219
2533480 HOSPITAL NAIR ALVES DE SOUZA;2533480
2534444 HOSPITAL DE CANCER DE MATO GROSSO;2534444
2534460 HOSPITAL REGIONAL DR ANTONIO FONTES;2534460
